EPISODE 290: TOTAL REWARD: -344030.0, AVGWAITTIME: 84.42355342679933 
EPISODE 291: TOTAL REWARD: -343516.0, AVGWAITTIME: 84.59133380595581 
EPISODE 292: TOTAL REWARD: -344441.0, AVGWAITTIME: 86.31721496377942 
EPISODE 293: TOTAL REWARD: -344279.0, AVGWAITTIME: 85.14123072734964 
EPISODE 294: TOTAL REWARD: -343701.0, AVGWAITTIME: 86.39357243653284 
EPISODE 295: TOTAL REWARD: -343974.0, AVGWAITTIME: 85.08735700957936 
EPISODE 296: TOTAL REWARD: -343963.0, AVGWAITTIME: 85.22047878469 
EPISODE 297: TOTAL REWARD: -344381.0, AVGWAITTIME: 84.98453829253829 
EPISODE 298: TOTAL REWARD: -343854.0, AVGWAITTIME: 83.37347828904903 
EPISODE 299: TOTAL REWARD: -344351.0, AVGWAITTIME: 85.96045006331958 
EPISODE 300: TOTAL REWARD: -344826.0, AVGWAITTIME: 83.59472757802895 
EPISODE 301: TOTAL REWARD: -343993.0, AVGWAITTIME: 86.19951355694074 
EPISODE 302: TOTAL REWARD: -344414.0, AVGWAITTIME: 86.36092174661246 
EPISODE 303: TOTAL REWARD: -344798.0, AVGWAITTIME: 83.26854507494794 
EPISODE 304: TOTAL REWARD: -344032.0, AVGWAITTIME: 84.45129135234492 
EPISODE 305: TOTAL REWARD: -343947.0, AVGWAITTIME: 86.26463842705232 
EPISODE 306: TOTAL REWARD: -344059.0, AVGWAITTIME: 85.96871078826686 
EPISODE 307: TOTAL REWARD: -344493.0, AVGWAITTIME: 83.86254027186263 
EPISODE 308: TOTAL REWARD: -343826.0, AVGWAITTIME: 85.35184361986227 
EPISODE 309: TOTAL REWARD: -343780.0, AVGWAITTIME: 84.52304548162383 
EPISODE 310: TOTAL REWARD: -344424.0, AVGWAITTIME: 85.25009875875087 
EPISODE 311: TOTAL REWARD: -344301.0, AVGWAITTIME: 86.3496336086344 
EPISODE 312: TOTAL REWARD: -344310.0, AVGWAITTIME: 86.36222635380531 
EPISODE 313: TOTAL REWARD: -344213.0, AVGWAITTIME: 86.4337926880826 
EPISODE 314: TOTAL REWARD: -344689.0, AVGWAITTIME: 86.09526700586575 
EPISODE 315: TOTAL REWARD: -343706.0, AVGWAITTIME: 84.72586869207299 
EPISODE 316: TOTAL REWARD: -344369.0, AVGWAITTIME: 86.18335647412547 
EPISODE 317: TOTAL REWARD: -344734.0, AVGWAITTIME: 87.09568388137254 
